No.,Ticker,Company,Combined_Rank,Combined_Score,Market Cap_dr,Forward P/E_dr,P/B_dr,P/Free Cash Flow_dr,EPS growth this year_dr,EPS growth next year_dr,Dividend Yield_dr,Return on Assets_dr,Total Debt/Equity_dr,Institutional Ownership_dr,Float Short_dr,Performance (Month)_dr,Performance (Quarter)_dr,Average Volume_dr,Beta_dr,Market Cap,Forward P/E,P/B,P/Free Cash Flow,EPS growth this year,EPS growth next year,Dividend Yield,Return on Assets,Total Debt/Equity,Institutional Ownership,Float Short,Performance (Month),Performance (Quarter),Average Volume,Beta,Sector,Industry,Country,P/E,Price,Change,Volume,PEG,P/S,P/Cash,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Earnings Date,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Transactions,Short Ratio,Performance (Week),Performance (Half Year),Performance (Year),Performance (YTD),Volatility (Week),Volatility (Month),Analyst Recom,Relative Volume,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Market Cap_Rank,Forward P/E_Rank,P/B_Rank,P/Free Cash Flow_Rank,EPS growth this year_Rank,EPS growth next year_Rank,Dividend Yield_Rank,Return on Assets_Rank,Total Debt/Equity_Rank,Institutional Ownership_Rank,Float Short_Rank,Performance (Month)_Rank,Performance (Quarter)_Rank,Average Volume_Rank,Beta_Rank
231,NVDA,NVIDIA Corporation,3699,139,0,19,17,15,17,1,15,5,6,17,9,0,0,0,18,656709.47,45.3,29.85,192.58,-54.7,32.05,0.06,10.3,0.5,65.9,1.65,13.16,62.29,50387.2,1.75,Technology,Semiconductors,USA,153.81,267.79,-1.52%,45485536,7.26,24.35,49.39,8.60%,21.20%,22.70%,18.70%,13.30%,3.5,2.7,0.44,56.90%,15.70%,16.20%,2/22/2023 16:30,2463,2358.39,0.40%,-5.57%,-0.85%,0.77,4.10%,113.19%,4.47%,83.24%,3.76%,3.67%,2.2,0.9,0.038313604,10.29%,22.82%,57.64%,-7.49%,147.66%,69.96,-0.92%,-0.60%,6,487,451,397,452,44,396,145,153,435,244,9,2,7,471
232,CFG,"Citizens Financial Group, Inc.",3738,140,14,0,0,0,14,17,1,17,4,5,12,19,18,4,15,15906.41,6.02,0.71,4.95,-20.5,2.62,5.4,0.9,0.34,92.1,2.18,-25.83,-19.64,5406.11,1.36,Financial,Banks - Regional,USA,7.6,31.1,4.05%,11422618,8.94,2.25,1.36,9.60%,0.85%,7.50%,9.20%,17.10%,,,0.31,,78.40%,27.80%,1/17/2023 8:30,493.49,482.52,0.30%,-10.07%,-0.02%,1.95,0.78%,-11.52%,-35.38%,-21.01%,5.74%,4.84%,2.1,2.11,0.056913183,-13.49%,-22.21%,-19.18%,-36.80%,4.64%,33.46,6.51%,-2.31%,377,23,10,24,371,447,34,431,102,144,325,490,467,104,389
233,WRK,WestRock Company,3681,140,19,3,0,2,7,14,3,14,10,6,7,15,18,9,13,7479.51,8.92,0.63,9.46,15.3,7.36,3.84,2.8,0.82,90.6,1.39,-9.92,-18.84,2326.64,1.22,Consumer Cyclical,Packaging & Containers,USA,9.11,28.61,0.70%,2358416,,0.35,18.01,5.50%,-13.80%,7.40%,7.00%,5.50%,1.5,1,0.78,18.80%,5.70%,3.80%,2/1/2023 8:30,254.7,251.19,0.10%,-18.41%,0.88%,1.51,5.69%,-12.85%,-37.97%,-18.63%,2.97%,2.87%,2.6,1.01,0.034603286,-4.65%,-13.41%,-21.78%,-47.77%,6.59%,37.57,1.81%,-1.09%,481,84,8,66,192,367,88,362,263,175,192,378,461,235,329
234,LOW,"Lowe's Companies, Inc.",3766,140,2,6,19,5,3,14,8,2,19,13,9,11,12,7,10,115197.37,12.87,1000,21.56,55.3,7.55,2.22,17.9,100,78.4,1.67,-6.31,-6.41,3069.36,1.09,Consumer Cyclical,Home Improvement Retail,USA,18.94,189.46,-0.12%,2692345,2.16,1.19,,28.20%,8.78%,8.20%,-101.80%,46.80%,1.2,0.2,,33.20%,12.50%,8.70%,3/1/2023 8:30,618,594.99,0.08%,-14.03%,-3.48%,3.24,-4.00%,0.71%,-14.24%,-4.91%,2.10%,2.63%,2.3,0.88,0.027024174,-4.35%,-7.47%,-4.22%,-15.16%,11.37%,33.61,0.38%,-0.50%,66,173,499,150,82,362,219,53,495,349,247,296,325,188,262
235,EIX,Edison International,3715,140,10,7,5,17,14,12,2,17,16,7,11,2,5,10,5,26630.59,13.31,1.91,3000,-20,8.68,4.31,0.9,2.32,90.4,2.05,3.83,4.85,2067.27,0.81,Utilities,Utilities - Regulated Electric,USA,42.93,68.38,3.54%,2041404,6.6,1.55,29.14,-12.70%,6.50%,6.90%,4.90%,3.60%,0.7,0.6,1.98,63.00%,8.60%,3.90%,2/23/2023 16:30,382.57,382.14,0.09%,0.00%,0.68%,3.78,0.91%,3.92%,2.67%,7.48%,3.08%,2.81%,2.4,0.99,0.026762211,1.49%,1.36%,5.64%,-6.74%,25.58%,53.45,3.45%,0.09%,273,188,129,452,370,326,67,438,410,179,299,55,133,256,140
236,DUK,Duke Energy Corporation,3710,140,4,9,3,17,12,15,2,16,14,17,4,7,13,7,0,73283.03,15.78,1.53,3000,-4.7,6.06,4.26,1.4,1.59,64.4,1.04,-2.55,-7.41,2927.05,0.42,Utilities,Utilities - Regulated Electric,USA,19.29,94.37,3.08%,3608722,3.64,2.55,179.18,3.00%,5.30%,4.10%,5.10%,4.70%,0.7,0.5,1.42,65.00%,20.90%,8.50%,2/9/2023 8:30,770,769.27,0.11%,-0.49%,0.18%,2.74,-2.10%,-9.85%,-11.66%,-8.37%,2.50%,2.34%,2.5,1.23,0.023418459,-0.43%,-4.18%,-6.77%,-18.88%,12.67%,45.87,2.96%,0.12%,103,240,82,445,307,401,68,411,366,440,108,179,341,196,23
237,WAB,Westinghouse Air Brake Technologies Corporation,3749,140,13,9,4,6,6,9,14,13,4,3,2,13,12,16,16,17761.09,15.96,1.71,22.83,17.1,11.35,0.71,3.4,0.4,94.7,0.9,-8.38,-5.92,948.65,1.49,Industrials,Railroads,USA,27.57,95.5,0.01%,702060,2.4,2.12,32.83,2.50%,11.50%,16.60%,6.30%,5.70%,1.2,0.7,0.37,31.40%,12.10%,7.60%,2/15/2023 8:30,181,174.07,0.50%,-17.60%,-0.08%,1.64,2.40%,13.08%,-0.21%,-4.32%,2.48%,2.16%,2.6,0.74,0.025863874,-5.55%,-7.02%,1.15%,-11.46%,22.03%,37.28,1.28%,-1.26%,349,245,106,164,175,237,368,333,120,92,72,342,312,408,426
238,PSA,Public Storage,3732,140,5,15,15,18,1,15,2,0,13,12,14,7,7,15,1,50235.25,23.76,8.78,3000,138.1,6.17,4.19,23.5,1.2,81.1,2.72,-2.62,1.03,1036.09,0.47,Real Estate,REIT - Industrial,USA,12.2,286.6,1.54%,555106,0.72,12.01,64.79,28.40%,17.00%,9.40%,74.10%,33.80%,,,1.2,74.80%,,99.00%,2/21/2023 16:30,175.35,151.79,8.20%,0.02%,0.61%,3.98,-3.07%,-4.12%,-18.97%,2.29%,2.67%,2.54%,2,0.54,0.025924634,-2.68%,-3.35%,-5.23%,-29.29%,6.10%,43.33,1.63%,-0.09%,146,398,388,459,28,400,72,21,331,309,374,182,193,394,37
239,PFG,"Principal Financial Group, Inc.",3808,141,13,3,4,1,0,9,4,15,4,14,15,18,17,10,14,18042.83,9.48,1.75,7.47,200.7,10.98,3.58,1.7,0.41,76.9,2.8,-19.52,-16.97,1914.22,1.32,Financial,Asset Management,USA,3.8,71.59,0.46%,1870745,0.57,1.3,3.72,26.40%,6.65%,-0.50%,45.40%,8.50%,,,0.4,,17.40%,34.80%,3/1/2023 16:30,244.5,241.66,0.40%,-1.47%,-2.00%,3.54,2.29%,-5.08%,1.13%,-14.69%,3.51%,3.68%,3.5,0.98,0.0427434,-9.99%,-16.90%,-10.28%,-25.56%,17.26%,34.69,2.33%,-1.82%,343,92,114,51,21,250,103,399,126,360,386,470,449,270,374
240,STX,Seagate Technology Holdings plc,3770,141,16,6,18,13,4,0,2,7,18,8,17,13,0,8,11,12758.86,12.44,1000,81.27,37.3,221.82,4.54,7.2,100,87.8,4.49,-8.11,22.69,2553.24,1.12,Technology,Computer Hardware,Ireland,21.99,61.64,0.06%,1758070,,1.36,16.57,23.30%,-7.77%,1.60%,-849.50%,33.40%,1.1,0.7,,24.50%,10.10%,6.60%,1/25/2023 16:30,206,205.3,0.40%,-4.26%,-0.78%,3.61,0.97%,4.76%,-32.57%,17.16%,2.94%,3.02%,2.5,0.69,0.031959766,-1.56%,-4.94%,-3.87%,-34.90%,29.85%,44.36,1.02%,-0.94%,421,162,475,352,114,7,57,201,472,213,443,335,24,214,280
241,BKR,Baker Hughes Company,3766,141,10,7,4,15,19,1,6,19,5,0,8,15,13,3,16,27708.74,13.12,1.88,160.17,-129.1,31.63,2.81,-1.8,0.46,98.52,1.55,-11.32,-7.94,6395.43,1.48,Energy,Oil & Gas Equipment & Services,USA,,27.02,1.08%,7614465,,1.31,9.1,-4.90%,49.30%,4.20%,-4.00%,0.60%,1.3,0.9,0.42,20.90%,3.50%,-2.80%,1/23/2023 8:30,1011.22,1009.5,0.14%,-19.66%,0.61%,2.45,0.37%,17.63%,-28.12%,-8.50%,3.43%,3.40%,2,1.19,0.0392302,-8.10%,-11.74%,-3.28%,-32.08%,32.35%,36.09,3.19%,-2.04%,263,178,125,386,486,45,160,482,142,25,222,397,347,84,424
242,DD,"DuPont de Nemours, Inc.",3687,141,9,9,2,17,12,5,9,3,3,15,16,11,7,7,16,32219.36,15.68,1.23,3000,-4.9,15.96,2.1,13.4,0.3,75,3.2,-5.82,0.41,3134.77,1.43,Basic Materials,Specialty Chemicals,USA,34.1,68.6,0.35%,2143205,2.54,2.48,6.49,26.40%,13.44%,2.20%,22.70%,3.90%,3,2.4,0.29,35.50%,13.60%,45.10%,2/7/2023 8:30,477.2,453.54,0.10%,-0.18%,0.18%,4.63,1.55%,30.69%,-9.67%,-0.04%,2.44%,2.35%,2.2,0.68,0.026822157,-3.29%,-6.14%,7.64%,-13.14%,38.53%,41.03,1.58%,-1.21%,236,236,52,431,310,139,228,95,91,381,411,284,198,185,410
243,ORCL,Oracle Corporation,3799,141,0,9,19,12,17,10,9,8,18,18,3,5,3,2,8,236383.42,15.78,1000,61.27,-47,10.76,1.82,6.7,100,42.7,0.98,-0.64,7.99,7061.74,0.99,Technology,Software - Infrastructure,USA,28.92,88.01,0.26%,5852010,3.19,4.93,26.96,1.50%,9.06%,2.30%,-178.50%,14.40%,0.8,0.8,,74.50%,28.10%,17.50%,3/9/2023 16:30,2698,1542.95,42.60%,-0.06%,0.29%,2.14,3.23%,33.29%,9.48%,7.67%,1.88%,2.16%,2.6,0.83,0.021929326,1.34%,0.38%,13.27%,-3.52%,44.80%,54.83,-0.01%,0.27%,26,239,495,316,440,262,250,222,468,474,90,127,101,76,213
244,MCD,McDonald's Corporation,3764,141,1,15,19,15,14,10,8,4,18,16,1,3,7,8,2,200979.55,23.2,1000,152.34,-17,10.44,2.24,12.4,100,70.2,0.8,1.71,1.18,2708.35,0.62,Consumer Cyclical,Restaurants,USA,32.52,271.33,0.63%,2229070,4.45,8.67,77.78,2.90%,7.30%,0.30%,-99.10%,24.00%,1.4,1.4,,57.00%,38.10%,26.60%,1/31/2023 8:30,731.1,730.16,0.17%,-1.29%,0.21%,2.14,1.55%,9.43%,14.91%,2.96%,1.31%,1.54%,2,0.82,0.015368739,1.81%,1.56%,4.25%,-3.67%,18.83%,57.05,-0.03%,0.67%,32,394,490,385,362,277,217,114,477,416,50,85,188,205,72
245,FTNT,"Fortinet, Inc.",3775,141,5,18,19,8,3,4,18,3,19,16,12,1,0,4,11,49920.84,37.61,1000,34.44,46.6,18.54,0,15.2,100,67.8,2.15,3.98,25.95,5123.95,1.15,Technology,Software - Infrastructure,USA,58.92,62.99,-0.41%,3384314,3.11,11.3,22.58,58.60%,18.97%,24.20%,-314.20%,132.40%,1.2,1.2,,75.40%,21.90%,19.40%,2/7/2023 16:30,780.6,633.43,12.00%,-0.98%,-4.13%,2.66,2.89%,29.24%,-2.02%,28.84%,2.53%,2.68%,2,0.66,0.02873472,4.02%,10.68%,16.08%,-11.92%,47.83%,60.5,0.27%,-0.68%,147,471,498,222,92,107,455,79,482,426,321,50,20,113,292
246,GM,General Motors Company,3751,142,5,0,0,2,12,18,13,12,14,11,10,17,12,1,15,48745.67,5.3,0.7,7.61,-8.5,1.69,1.07,3.5,1.69,82.8,1.75,-14.11,-6.1,15595.9,1.37,Consumer Cyclical,Auto Manufacturers,USA,5.5,33.71,-0.09%,11910916,0.35,0.31,1.56,3.30%,15.70%,1.50%,13.80%,4.30%,1.1,0.9,1.12,13.40%,6.20%,5.70%,1/31/2023 8:30,1415,1349.91,0.20%,-1.15%,-3.10%,1.51,0.99%,-9.82%,-23.00%,0.21%,3.29%,3.10%,2.3,0.76,0.039454168,-9.01%,-12.26%,-8.75%,-27.88%,11.14%,33.27,0.63%,-0.71%,151,13,9,52,320,457,333,324,376,287,261,432,316,29,391
247,EVRG,"Evergy, Inc.",3769,142,16,8,2,17,13,13,2,14,13,9,3,6,12,13,1,13798.35,15.02,1.44,3000,-14.7,8.41,4.12,2.6,1.27,86.3,0.91,-2.16,-5.66,1432.43,0.49,Utilities,Utilities - Regulated Electric,USA,18.2,59.45,4.02%,1295942,6.82,2.36,547.55,7.50%,2.67%,17.90%,8.00%,5.70%,0.5,0.3,1.05,,21.60%,12.80%,2/24/2023 8:30,229.9,229.03,0.21%,-4.31%,0.12%,1.45,-0.70%,-9.76%,-8.75%,-5.53%,2.54%,2.52%,2.8,0.9,0.023885618,0.62%,-1.86%,-5.56%,-18.70%,9.85%,49.52,3.64%,0.37%,405,224,73,441,351,335,76,370,337,233,77,165,303,336,43
248,GOOG,Alphabet Inc.,3771,142,0,11,12,18,8,3,16,18,19,17,0,0,1,0,19,1352363.78,17.3,5.32,3000,11.4,20.7,0,0,100,63.48,0.58,16.46,17.52,32037.3,4,Communication Services,Internet Content & Information,USA,21.69,106.06,-0.19%,25235141,1.4,4.78,,23.35%,15.51%,,,,,,,,,,2/2/2023 16:30,5968,5199.34,0.02%,153.29%,,0.94,3.51%,5.46%,-23.42%,19.53%,2.39%,2.61%,1.5,0.79,0.027720158,10.54%,9.62%,3.81%,-26.43%,27.09%,67.11,0.25%,-0.43%,3,287,323,470,217,89,424,463,483,444,15,5,35,15,498
249,HOLX,"Hologic, Inc.",3760,142,12,13,10,3,15,13,18,5,7,0,14,7,5,12,8,19851.48,19.54,3.85,11.27,-28.8,8.02,0,10.6,0.56,99.76,2.69,-2.55,5.01,1617.28,1.01,Healthcare,Medical Instruments & Supplies,USA,20.2,79.2,0.85%,1182664,2.02,4.45,8.13,14.20%,10.00%,9.70%,20.00%,17.50%,4.2,3.5,0.55,59.30%,28.20%,22.20%,2/1/2023 16:30,247.32,244.05,1.10%,-8.11%,-9.18%,4.06,2.76%,26.30%,5.54%,5.87%,1.87%,1.67%,2.3,0.73,0.018560606,0.25%,-2.06%,8.28%,-8.60%,32.49%,48.77,0.89%,-0.04%,324,332,267,77,395,348,477,142,179,3,371,178,130,312,225
250,TDY,Teledyne Technologies Incorporated,3807,142,12,13,7,11,2,13,18,10,5,4,9,5,4,19,10,20211.1,20.41,2.43,51.27,64.5,8.66,0,5.6,0.48,93.9,1.66,-1.44,6.33,180.58,1.09,Technology,Scientific & Technical Instruments,USA,25.71,424.96,1.59%,154919,4.06,3.7,31.67,20.90%,6.33%,16.00%,10.00%,7.10%,1.8,1.3,0.44,42.70%,18.00%,14.40%,1/25/2023 8:30,46.8,46.26,0.30%,-26.23%,-1.54%,4.26,4.09%,17.93%,-6.53%,6.26%,2.44%,2.11%,2.1,0.86,0.022237387,0.58%,0.07%,7.59%,-13.97%,30.76%,52.03,2.15%,-0.55%,320,351,183,299,67,328,475,257,149,113,246,146,113,499,261
251,MMM,3M Company,3787,143,5,4,10,14,10,11,0,4,12,16,13,12,18,6,8,56320.82,10.62,3.79,119.07,0.6,10.15,5.93,12.6,1.08,68.1,2.42,-7.13,-18.08,3554.91,0.96,Industrials,Conglomerates,USA,9.97,101.14,0.14%,3552872,110.77,1.65,14.47,2.10%,0.09%,1.60%,40.20%,19.30%,1.5,1,0.95,43.80%,19.10%,16.90%,1/24/2023 8:30,551.9,543.75,0.11%,-1.07%,-1.00%,3.71,-1.82%,-11.39%,-31.51%,-15.66%,1.91%,2.27%,3.3,1,0.024817085,-4.42%,-10.10%,-18.26%,-34.60%,0.87%,31.36,0.70%,-0.55%,129,118,264,376,275,288,20,110,310,423,346,310,454,160,204
252,INCY,Incyte Corporation,3801,143,15,7,10,4,18,1,17,9,1,0,15,14,16,12,4,15732.93,14.12,3.58,17.64,-64.4,30.41,0,6.3,0.01,98.5,2.98,-9.57,-12.78,1633.8,0.74,Healthcare,Biotechnology,USA,46.14,70.23,-2.81%,3459508,2.71,4.63,4.86,24.50%,17.00%,17.20%,8.20%,8.90%,3.5,3.5,0.01,94.50%,17.10%,10.00%,2/7/2023 8:30,222.61,218.93,0.40%,-11.57%,0.60%,4,-4.60%,4.18%,-8.91%,-12.56%,2.76%,2.04%,2.3,2.12,0.024775737,-5.84%,-11.02%,-7.67%,-18.61%,7.93%,29.5,-1.79%,-1.04%,379,199,256,123,462,46,432,240,37,26,398,370,412,309,112
253,TGT,Target Corporation,3799,143,4,8,14,17,18,2,6,10,13,11,12,10,3,6,9,73582.74,14.8,6.41,3000,-57.6,25.03,2.77,5.2,1.44,81.9,2.07,-5.61,9.78,3271.56,1.04,Consumer Defensive,Discount Stores,USA,26.11,156.22,0.06%,2703686,,0.67,33.01,5.10%,-7.51%,8.50%,25.50%,11.70%,0.9,0.2,1.43,24.60%,3.50%,2.50%,2/28/2023 8:30,460.6,459.4,0.21%,-5.80%,1.85%,2.9,-1.97%,2.13%,-27.92%,4.82%,2.78%,2.70%,2.2,0.83,0.027845346,-3.70%,-5.93%,-1.93%,-38.71%,13.90%,38.97,1.08%,-1.01%,102,213,355,450,456,64,164,273,349,301,303,277,79,176,237
254,ZBH,"Zimmer Biomet Holdings, Inc.",3817,143,10,10,6,7,16,14,14,16,5,5,8,3,8,13,8,26715.44,16.64,2.2,29.83,-34.8,7.25,0.76,1.1,0.47,92.1,1.51,2.33,-0.82,1440.22,1,Healthcare,Medical Devices,USA,91.4,126.04,0.86%,880470,15.72,3.85,71.11,-12.30%,5.82%,-2.30%,1.90%,3.30%,1.9,1,0.43,70.90%,10.00%,3.30%,2/3/2023 8:30,209.9,209.7,0.08%,-16.93%,-0.06%,2.19,1.39%,16.69%,4.39%,-1.15%,1.68%,1.72%,2.8,0.61,0.018248175,1.36%,0.60%,8.65%,-6.67%,25.55%,52.92,1.05%,-0.18%,271,268,165,199,415,373,359,422,146,143,212,77,216,335,216
255,MLM,"Martin Marietta Materials, Inc.",3765,143,12,13,8,12,6,5,14,9,9,2,7,12,9,19,6,21611.01,19.6,2.91,61.69,22.2,15.53,0.78,5.9,0.7,96.9,1.41,-7.2,-1.55,378.42,0.88,Basic Materials,Building Materials,USA,24.59,336.83,1.01%,352874,1.41,3.51,60.37,13.80%,17.45%,9.20%,12.70%,7.80%,2,1.4,0.61,23.10%,19.60%,14.10%,2/15/2023 8:30,62,61.68,0.50%,-0.52%,-2.21%,2.29,5.06%,2.79%,-10.32%,-0.34%,2.58%,2.71%,2.1,0.93,0.030727667,-2.57%,-4.35%,-1.16%,-17.21%,18.19%,45.68,2.16%,-1.12%,309,334,218,320,152,147,358,249,233,56,196,312,229,483,169
256,CCI,Crown Castle Inc.,3810,143,5,18,14,18,3,19,1,11,16,5,2,8,10,10,3,57086.68,36.2,7.53,3000,44.6,-5.57,4.84,4.3,2.92,93.1,0.81,-3.58,-3.75,1996.63,0.67,Real Estate,REIT - Specialty,USA,33.55,129.46,4.61%,2784044,,8.17,365.94,35.60%,-3.23%,10.40%,21.60%,8.20%,0.4,0.4,2.81,70.40%,34.30%,24.00%,1/25/2023 16:30,433,430.78,0.45%,0.16%,0.37%,1.74,-0.61%,-17.28%,-24.62%,-4.56%,3.37%,2.85%,2.5,1.39,0.030202379,-0.13%,-6.58%,-13.75%,-34.63%,6.76%,45.64,4.78%,-0.15%,128,468,373,467,99,484,49,302,422,127,52,216,265,264,94
257,FITB,Fifth Third Bancorp,3826,144,13,0,1,0,13,15,1,16,11,11,11,19,18,2,13,18336.94,6.37,1.15,3.56,-10.4,6.41,5.18,1.1,0.9,83,1.99,-29.32,-20.35,8673.76,1.25,Financial,Banks - Regional,USA,7.61,25.48,0.55%,10998716,1.57,2.78,1.5,6.30%,4.84%,8.00%,14.40%,15.20%,,,0.9,,76.60%,35.30%,1/19/2023 8:30,688.68,678.27,0.10%,5.84%,-0.11%,1.55,2.12%,-23.28%,-44.22%,-22.34%,5.27%,6.12%,2,1.27,0.068681319,-17.43%,-25.04%,-25.67%,-45.81%,15.24%,29.07,2.17%,-1.58%,338,26,42,11,330,395,38,420,283,280,292,494,471,60,346
258,TFC,Truist Financial Corporation,3814,144,6,1,0,16,11,16,0,16,10,15,4,19,18,1,11,47084.34,6.4,0.81,3000,-1,5.01,6.32,1.1,0.8,75.3,1.06,-29.54,-21.22,11375.67,1.12,Financial,Banks - Regional,USA,7.43,32.89,0.98%,18651709,,2.83,1.56,10.50%,-0.29%,17.70%,10.70%,12.50%,,,0.8,,81.40%,35.60%,1/19/2023 8:30,1326.77,1322.79,0.10%,-1.52%,-0.13%,1.24,7.62%,-26.58%,-43.47%,-23.56%,5.34%,5.78%,2.5,1.64,0.066281545,-16.04%,-26.39%,-28.14%,-46.17%,14.60%,29.66,2.65%,-1.63%,158,29,14,416,286,423,17,421,260,378,115,495,473,44,285
259,AIZ,"Assurant, Inc.",3793,144,19,2,2,6,17,5,7,17,6,0,12,16,14,19,2,6311.74,8.37,1.42,24.24,-49.3,16.65,2.48,0.8,0.5,99,2.11,-12.04,-8.71,421.35,0.56,Financial,Insurance - Specialty,USA,22.36,112.77,0.42%,387200,1.88,0.62,4.11,-4.00%,11.90%,9.70%,6.20%,6.10%,,,0.5,,4.50%,2.70%,2/7/2023 16:30,53.41,52.33,0.20%,-0.47%,-6.05%,2.62,7.48%,-24.15%,-36.99%,-9.83%,3.31%,2.85%,2,0.92,0.034406314,-4.94%,-10.42%,-21.84%,-41.91%,7.92%,38.84,1.75%,-1.31%,490,74,68,170,446,128,194,439,154,13,312,410,355,479,61
260,J,Jacobs Solutions Inc.,3819,144,15,7,6,13,2,9,13,12,7,8,5,11,13,17,6,14781.7,13.7,2.3,70.16,59.4,11.32,0.93,4.3,0.56,88.3,1.17,-6.37,-7.39,666.79,0.85,Industrials,Engineering & Construction,USA,22.37,112.34,0.59%,344840,2.09,0.96,,28.80%,10.69%,18.70%,10.60%,8.00%,1.5,1.5,0.56,21.80%,6.40%,4.20%,2/7/2023 8:30,126.82,125.08,1.10%,-8.31%,-0.11%,2.19,-0.64%,-3.29%,-17.21%,-6.44%,2.11%,2.23%,1.7,0.52,0.025191383,-4.69%,-6.96%,-8.01%,-25.27%,5.21%,37.35,1.34%,-0.73%,392,195,169,331,76,241,349,304,177,207,136,299,340,446,157
261,ES,Eversource Energy,3785,144,10,10,4,16,7,15,4,14,14,11,5,7,15,11,1,26700.13,16.19,1.71,3000,14.2,7.07,3.57,2.8,1.49,82,1.16,-2.96,-9.82,1758.54,0.47,Utilities,Utilities - Regulated Electric,USA,18.71,75.73,3.39%,1923342,2.72,2.19,71.28,5.40%,6.88%,9.50%,9.30%,4.50%,0.6,0.6,1.3,,18.00%,11.50%,2/13/2023 16:30,348.79,347.02,0.10%,-1.52%,0.32%,2.28,-0.24%,-13.93%,-10.57%,-9.67%,2.75%,2.56%,2.5,1.09,0.025881421,0.80%,-3.54%,-8.18%,-19.97%,7.36%,48.28,2.95%,0.42%,272,254,107,425,199,378,105,361,356,299,131,189,379,294,36
262,HLT,Hilton Worldwide Holdings Inc.,3823,144,8,13,18,6,0,5,15,7,18,0,10,14,5,12,13,35586.19,19.88,1000,22.81,210.5,16.27,0.46,8.1,100,98.6,1.74,-9.33,3.6,1620.08,1.24,Consumer Cyclical,Lodging,USA,29.05,131.83,-2.83%,2925428,0.65,4.06,29.43,25.10%,45.03%,1.50%,-143.30%,21.20%,0.9,0.9,,42.10%,23.90%,14.30%,2/9/2023 8:30,269,265.64,0.20%,-6.66%,-2.72%,2.86,-3.45%,10.39%,-11.17%,4.33%,2.74%,2.26%,2.5,1.81,0.02836987,-7.14%,-7.83%,0.00%,-21.53%,21.60%,34.12,-1.78%,-1.07%,217,339,470,163,19,132,381,186,474,23,260,360,151,310,338
263,EQIX,"Equinix, Inc.",3823,144,4,19,13,18,4,3,9,15,13,2,9,8,6,19,2,64325.21,65.82,5.48,3000,38.6,20.51,2,2.4,1.31,96.5,1.63,-3.49,2.37,388.17,0.62,Real Estate,REIT - Specialty,USA,88.82,681.7,2.30%,367010,4.38,8.86,,68.00%,20.30%,10.70%,6.40%,4.10%,1.8,1.8,1.29,48.30%,16.50%,9.70%,2/15/2023 16:30,92.57,92.25,0.10%,-37.31%,0.70%,3.88,-1.32%,11.89%,-3.69%,4.07%,2.60%,2.60%,2,0.95,0.026683292,-0.72%,-3.78%,3.82%,-12.19%,37.75%,46.27,2.30%,0.00%,116,494,331,473,113,90,235,378,339,66,242,214,175,481,76
264,DXCM,"DexCom, Inc.",3822,144,6,19,17,15,3,1,17,9,11,0,16,3,8,8,11,44329.67,78.68,20.67,145.49,57.8,40.1,0,6.6,0.95,98.8,3.36,1.98,-0.58,2510.12,1.16,Healthcare,Medical Devices,USA,142.43,114.09,-0.36%,1360742,4.65,15.23,18.05,37.80%,30.60%,32.30%,16.20%,8.20%,2,1.8,0.59,65.20%,13.40%,11.70%,2/9/2023 16:30,386.4,384.65,0.10%,-32.87%,-0.35%,5.15,0.14%,40.92%,1.57%,0.75%,2.85%,3.18%,1.7,0.54,0.033832939,0.17%,2.34%,15.06%,-15.34%,70.56%,50.58,-0.15%,-0.21%,173,497,442,381,78,35,449,228,290,17,419,83,209,219,302
265,NRG,"NRG Energy, Inc.",3864,145,19,0,4,18,17,7,1,12,15,0,18,11,9,5,9,7265.37,5.78,1.89,3000,-42,13.72,4.8,3.9,2.1,99.51,5.37,-6.03,-2.87,4251.23,1.02,Utilities,Utilities - Independent Power Producers,USA,6.48,31.49,1.55%,3571023,,0.23,16.9,27.80%,-3.30%,28.30%,25.30%,13.30%,1.3,1.2,2.08,13.00%,6.40%,3.90%,2/16/2023 8:30,230,228.25,0.90%,2.29%,-1.69%,2.88,0.03%,-23.90%,-13.25%,-1.04%,4.14%,3.28%,2.8,0.84,0.036201969,-3.44%,-5.31%,-16.87%,-34.15%,4.10%,43.59,2.74%,-1.16%,483,18,126,476,430,189,51,313,396,5,468,288,251,138,232
